LitterSpecies,SiteNo,PlotType,PlotAvgMoisture_gWgS,DeployDate,HarvestDate,Time_days,HarvestNo,LitterInitMass_g,LitterHarvestMass_g,LitterPropInitMass,LitterInitC_g,LitterHarvestC_g,LitterPropInitC,LitterInitN_g,LitterHarvestN_g,LitterPropInitN
AMY,1,dry,0.136328482,11/27/10,9/20/13,1028,6,2.921,1.469,0.502969678,NA,NA,NA,NA,NA,NA
AMY,1,dry,0.136328482,11/27/10,4/29/11,153,1,2.946,2.1715,0.736980386,1.493012279,1.08422995,0.726202969,0.036929251,0.03122617,0.845567389
AMY,1,dry,0.136328482,11/27/10,8/3/11,249,3,2.923,1.678,0.574152889,1.480893672,0.80940008,0.546561914,0.0366295,0.0324693,0.886424872
AMY,1,dry,0.136328482,11/27/10,10/2/12,675,5,2.946,1.725,0.58563392,1.492527534,0.81921975,0.548880829,0.036917261,0.04503975,1.220018748
AMY,1,dry,0.136328482,11/27/10,9/27/11,304,4,2.904,1.637,0.563629511,1.471683532,0.85441578,0.580570321,0.03640169,0.03468803,0.952923618
AMY,1,dry,0.136328482,11/27/10,5/26/11,180,2,2.940,1.9562,0.665422538,1.489619069,0.986198668,0.662047559,0.03684532,0.03394007,0.921150083
BEB,1,dry,0.136328482,11/27/10,NA,NA,6,2.767,NA,NA,NA,NA,NA,NA,NA,NA
BEB,1,dry,0.136328482,11/27/10,5/26/11,180,2,2.818,2.1026,0.746194679,1.318816554,0.92009776,0.697669253,0.030422451,0.027417904,0.901239143
BEB,1,dry,0.136328482,11/27/10,9/27/11,304,4,2.765,1.78,0.643705138,1.294234297,0.817821,0.631895633,0.029855388,0.030438,1.019514467
BEB,1,dry,0.136328482,11/27/10,10/2/12,675,5,2.774,1.309,0.471961008,1.298115706,0.59878896,0.461275491,0.029944924,0.02324784,0.776353272
BEB,1,dry,0.136328482,11/27/10,8/3/11,249,3,2.788,1.822,0.653450083,1.305015989,0.81800512,0.626816167,0.0301041,0.02920666,0.970188778
BEB,1,dry,0.136328482,11/27/10,4/29/11,153,1,2.790,2.2371,0.801793435,1.305878524,0.992802609,0.760256479,0.030123997,0.029708688,0.986213351
DEL,1,dry,0.136328482,11/27/10,4/29/11,153,1,2.873,2.3178,0.806766269,1.259176139,1.058052522,0.840273644,0.038583733,0.041558154,1.077090038
DEL,1,dry,0.136328482,11/27/10,8/3/11,249,3,2.906,1.761,0.605945326,1.273749937,0.74810802,0.587327228,0.039030304,0.03671685,0.940726734
DEL,1,dry,0.136328482,11/27/10,10/2/12,675,5,2.872,1.192,0.415041638,1.258759745,0.4287624,0.340622904,0.038570973,0.0233036,0.604174537
DEL,1,dry,0.136328482,11/27/10,9/27/11,304,4,2.909,1.605,0.55172595,1.274999119,0.70862355,0.55578356,0.039068581,0.0342186,0.87585981
DEL,1,dry,0.136328482,11/27/10,5/26/11,180,2,2.905,2.2764,0.783546286,1.273333542,0.966991956,0.759417642,0.039017544,0.036809388,0.943406064
DEL,1,dry,0.136328482,11/27/10,9/20/13,1028,6,2.944,0.876,0.29753365,NA,NA,NA,NA,NA,NA
DIS,1,dry,0.136328482,11/27/10,4/29/11,153,1,2.860,2.3434,0.819279369,1.308700627,1.185807268,0.906095132,0.02459874,0.037892778,1.540435744
DIS,1,dry,0.136328482,11/27/10,8/3/11,249,3,2.846,2.039,0.71634181,1.302335352,0.89265381,0.685425462,0.024479096,0.02801586,1.144480985
DIS,1,dry,0.136328482,11/27/10,10/2/12,675,5,2.782,1.608,0.577916045,1.273055085,0.67259424,0.528330822,0.023928735,0.0271752,1.135672228
DIS,1,dry,0.136328482,11/27/10,9/27/11,304,4,2.855,1.865,0.653296277,1.306154517,0.8690154,0.66532358,0.024550882,0.0289448,1.178971886
DIS,1,dry,0.136328482,11/27/10,5/26/11,180,2,2.850,2.2148,0.777091068,1.304032759,0.973891856,0.746830821,0.024511001,0.025625236,1.045458565
DIS,1,dry,0.136328482,11/27/10,9/20/13,1028,6,2.846,1.448,0.508711594,NA,NA,NA,NA,NA,NA
ERI,1,dry,0.136328482,11/27/10,8/3/11,249,3,2.882,2.423,0.840831121,1.377314629,1.0217791,0.741863245,0.037922811,0.04368669,1.15198975
ERI,1,dry,0.136328482,11/27/10,4/29/11,153,1,2.832,2.6384,0.931636857,1.353575548,1.206566704,0.891392214,0.037269182,0.03416728,0.916770312
ERI,1,dry,0.136328482,11/27/10,10/2/12,675,5,2.843,1.966,0.691462163,1.358950434,0.94737608,0.697138068,0.037417174,0.04067654,1.087108826
ERI,1,dry,0.136328482,11/27/10,9/27/11,304,4,2.846,1.862,0.654237401,1.360294156,0.85255394,0.626742338,0.037454172,0.02917754,0.779019763
ERI,1,dry,0.136328482,11/27/10,5/26/11,180,2,2.866,2.5683,0.896207871,1.369700207,1.184782473,0.864994009,0.037713157,0.034646367,0.918681169
ERI,1,dry,0.136328482,11/27/10,9/20/13,1028,6,2.812,1.691,0.601281851,NA,NA,NA,NA,NA,NA
HUM,1,dry,0.136328482,11/27/10,4/29/11,153,1,2.883,2.439,0.846049524,1.429066557,1.19840265,0.838591208,0.025042009,0.02812167,1.122979779
HUM,1,dry,0.136328482,11/27/10,8/3/11,249,3,2.862,2.069,0.722944711,1.418704175,0.97793354,0.689314627,0.024860426,0.02780736,1.118539169
HUM,1,dry,0.136328482,11/27/10,10/2/12,675,5,2.886,1.528,0.529514825,1.430479609,0.74847552,0.523233967,0.025066771,0.03019328,1.204514154
HUM,1,dry,0.136328482,11/27/10,9/27/11,304,4,2.876,1.857,0.645652808,1.425769435,0.91323546,0.640521137,0.024984233,0.03071478,1.229366552
HUM,1,dry,0.136328482,11/27/10,5/26/11,180,2,2.869,2.3743,0.827698258,1.422001297,1.143581595,0.804205733,0.024918202,0.027328193,1.096716072
HUM,1,dry,0.136328482,11/27/10,9/20/13,1028,6,2.900,1.517,0.523119143,NA,NA,NA,NA,NA,NA
INT,1,dry,0.136328482,11/27/10,9/20/13,1028,6,2.851,1.914,0.671304082,NA,NA,NA,NA,NA,NA
INT,1,dry,0.136328482,11/27/10,5/26/11,180,2,2.856,2.3165,0.811146344,1.32444101,1.006681405,0.760080213,0.041209697,0.034029385,0.825761593
INT,1,dry,0.136328482,11/27/10,9/27/11,304,4,2.814,1.902,0.675948568,1.30495757,0.85759278,0.657180586,0.040603474,0.03478758,0.856763638
INT,1,dry,0.136328482,11/27/10,10/2/12,675,5,2.857,1.617,0.566024176,1.324873976,0.72472323,0.547012956,0.041223169,0.03426423,0.831188654
INT,1,dry,0.136328482,11/27/10,8/3/11,249,3,2.821,1.961,0.695071563,1.308421292,0.83356227,0.637074828,0.040711247,0.03225845,0.792371949
INT,1,dry,0.136328482,11/27/10,4/29/11,153,1,2.884,2.4581,0.852369745,1.337429971,1.05403328,0.788103529,0.041613846,0.032889378,0.790346998
LUC,1,dry,0.136328482,11/27/10,5/26/11,180,2,2.849,1.9526,0.685428442,1.357001638,0.8874567,0.653983514,0.034640547,0.03007004,0.868059047
LUC,1,dry,0.136328482,11/27/10,9/27/11,304,4,2.836,1.733,0.611131994,1.350805284,0.81480461,0.603199158,0.034482371,0.03609839,1.046865085
LUC,1,dry,0.136328482,11/27/10,10/2/12,675,5,2.838,1.37,0.482805848,1.351690477,0.6161986,0.455872561,0.034504967,0.0298249,0.864365403
LUC,1,dry,0.136328482,11/27/10,8/3/11,249,3,2.839,1.872,0.659501241,1.352133074,0.8383752,0.620038971,0.034516266,0.03440736,0.996844803
LUC,1,dry,0.136328482,11/27/10,4/29/11,153,1,2.804,2.27,0.809520048,1.335756994,1.0173686,0.761641979,0.034098229,0.0287609,0.843471958
LUC,1,dry,0.136328482,11/27/10,9/20/13,1028,6,2.801,1.655,0.590788005,NA,NA,NA,NA,NA,NA
NIG,1,dry,0.136328482,11/27/10,5/26/11,180,2,2.835,2.316,0.816921384,1.438496315,1.10220756,0.766222025,0.049168942,0.04337868,0.882237412
NIG,1,dry,0.136328482,11/27/10,9/27/11,304,4,2.839,1.952,0.68761288,1.440410482,0.95054592,0.659913221,0.04923437,0.04101152,0.832985582
NIG,1,dry,0.136328482,11/27/10,10/2/12,675,5,2.863,1.893,0.661118838,1.452852566,0.91503834,0.629821884,0.04965965,0.04242213,0.854257534
NIG,1,dry,0.136328482,11/27/10,8/3/11,249,3,2.894,2.135,0.737858712,1.4681659,1.01209675,0.689361298,0.050183072,0.0441945,0.880665501
NIG,1,dry,0.136328482,11/27/10,4/29/11,153,1,2.894,2.406,0.831245716,1.468644441,1.2141879,0.826740541,0.050199429,0.04299522,0.856488234
NIG,1,dry,0.136328482,11/27/10,9/20/13,1028,6,2.856,1.871,0.655161852,NA,NA,NA,NA,NA,NA
PET,1,dry,0.136328482,11/27/10,9/20/13,1028,6,2.847,1.547,0.543348616,NA,NA,NA,NA,NA,NA
PET,1,dry,0.136328482,11/27/10,5/26/11,180,2,2.854,2.0561,0.720480105,1.399118846,0.984584046,0.703717235,0.02646416,0.027510618,1.039542467
PET,1,dry,0.136328482,11/27/10,9/27/11,304,4,2.886,1.791,0.620580914,1.414912352,0.8849331,0.625433158,0.026762892,0.03125295,1.167771776
PET,1,dry,0.136328482,11/27/10,10/2/12,675,5,2.932,1.481,0.505041577,1.437673582,0.76231513,0.530242149,0.027193418,0.03481831,1.280394768
PET,1,dry,0.136328482,11/27/10,8/3/11,249,3,2.874,1.85,0.643771944,1.408873659,0.895437,0.63556941,0.026648671,0.029748,1.116303327
PET,1,dry,0.136328482,11/27/10,4/29/11,153,1,2.860,2.1325,0.745518894,1.40237045,1.054414625,0.751880236,0.026525664,0.02802105,1.056375082
PYR,1,dry,0.136328482,11/27/10,4/29/11,153,1,2.892,1.7893,0.618742569,1.500205694,1.039923267,0.693187122,0.029515973,0.035821786,1.213640716
PYR,1,dry,0.136328482,11/27/10,8/3/11,249,3,2.892,1.437,0.496916712,1.500205694,0.64565847,0.430379962,0.029515973,0.02961657,1.003408239
PYR,1,dry,0.136328482,11/27/10,10/2/12,675,5,2.887,1.226,0.424658014,1.497713658,0.57368218,0.383038625,0.029466943,0.03152046,1.06968885
PYR,1,dry,0.136328482,11/27/10,9/27/11,304,4,2.906,1.309,0.450409558,1.507681802,0.64576897,0.428319138,0.029663062,0.0290598,0.979662852
PYR,1,dry,0.136328482,11/27/10,5/26/11,180,2,2.962,1.5812,0.533834467,1.53658942,0.765790972,0.498370588,0.030231808,0.027939804,0.924185667
PYR,1,dry,0.136328482,11/27/10,9/20/13,1028,6,2.897,1.18,0.407369041,NA,NA,NA,NA,NA,NA
TRE,1,dry,0.136328482,11/27/10,5/26/11,180,2,2.914,2.465,0.846047172,1.411828213,1.1727977,0.830694336,0.029708489,0.0238612,0.803177832
TRE,1,dry,0.136328482,11/27/10,9/27/11,304,4,2.857,2.153,0.753623213,1.384360738,1.04095397,0.75193838,0.029130503,0.03003435,1.031027507
TRE,1,dry,0.136328482,11/27/10,10/2/12,675,5,2.894,1.449,0.5007413,1.402214597,0.70186662,0.500541516,0.029506194,0.02742957,0.92962074
TRE,1,dry,0.136328482,11/27/10,8/3/11,249,3,2.886,2.244,0.777505844,1.398552267,1.0620852,0.759417596,0.029429129,0.0288354,0.979825115
TRE,1,dry,0.136328482,11/27/10,4/29/11,153,1,2.873,2.3099,0.804023574,1.392143189,1.272500811,0.914058856,0.029294266,0.024692831,0.842923701
TRE,1,dry,0.136328482,11/27/10,9/20/13,1028,6,2.853,1.496,0.524344449,NA,NA,NA,NA,NA,NA
AMY,2,dry,0.115186058,11/27/10,5/26/11,180,2,2.897,1.9363,0.66844178,1.467805578,0.96660096,0.658534737,0.03630577,0.030961437,0.852796601
AMY,2,dry,0.115186058,11/27/10,8/3/11,249,3,2.896,1.809,0.624702089,1.467320834,0.86703561,0.59089709,0.03629378,0.03466044,0.954996704
AMY,2,dry,0.115186058,11/27/10,10/2/12,675,5,2.921,1.485,0.508447904,1.479924184,0.74524725,0.503571236,0.03660552,0.03672405,1.003238033
AMY,2,dry,0.115186058,11/27/10,9/27/11,304,4,2.905,1.679,0.577900029,1.472168276,0.85204213,0.578766805,0.03641368,0.0334121,0.917569993
AMY,2,dry,0.115186058,11/27/10,4/29/11,153,1,2.937,2.1204,0.721981771,1.488164836,1.056722544,0.710084339,0.03680935,0.029452356,0.800132457
AMY,2,dry,0.115186058,11/27/10,9/20/13,1028,6,2.876,1.432,0.497967333,NA,NA,NA,NA,NA,NA
BEB,2,dry,0.115186058,11/27/10,4/29/11,153,1,2.838,2.1457,0.756051281,1.328304443,0.969513088,0.72988771,0.030641318,0.030490397,0.995074594
BEB,2,dry,0.115186058,11/27/10,9/27/11,304,4,2.797,1.774,0.634139516,1.309328665,0.8296111,0.633615625,0.030203585,0.03147076,1.041954463
BEB,2,dry,0.115186058,11/27/10,10/2/12,675,5,2.813,1.345,0.478110684,1.316660216,0.6185924,0.469819314,0.030372709,0.0277339,0.913119078
BEB,2,dry,0.115186058,11/27/10,8/3/11,249,3,2.786,1.743,0.625530614,1.304153453,0.77652393,0.595423743,0.030084203,0.02802744,0.931633122
BEB,2,dry,0.115186058,11/27/10,5/26/11,180,2,2.828,1.8879,0.667598061,1.323560499,0.86673489,0.65485098,0.030531885,0.036644139,1.200192501
BEB,2,dry,0.115186058,11/27/10,9/20/13,1028,6,2.810,1.403,0.499218649,NA,NA,NA,NA,NA,NA
DEL,2,dry,0.115186058,11/27/10,5/26/11,180,2,2.856,1.6927,0.592713172,1.251681043,0.754351755,0.602670912,0.038354068,0.035258941,0.919301219
DEL,2,dry,0.115186058,11/27/10,8/3/11,249,3,2.915,1.816,0.623037302,1.277497485,0.79642496,0.623425854,0.039145136,0.03744592,0.956591897
DEL,2,dry,0.115186058,11/27/10,10/2/12,675,5,2.896,1.446,0.499352112,1.2691696,0.56101908,0.442036336,0.038889953,0.0319566,0.821718665
DEL,2,dry,0.115186058,11/27/10,9/27/11,304,4,2.929,1.713,0.584840445,1.283743398,0.75579273,0.588741279,0.039336524,0.03415722,0.868333468
DEL,2,dry,0.115186058,11/27/10,4/29/11,153,1,2.906,2.0939,0.720493423,1.273749937,0.897466479,0.704586083,0.039030304,0.041061379,1.052038423
DEL,2,dry,0.115186058,11/27/10,9/20/13,1028,6,2.889,1.195,0.413623348,NA,NA,NA,NA,NA,NA
DIS,2,dry,0.115186058,11/27/10,9/20/13,1028,6,2.832,1.503,0.530627692,NA,NA,NA,NA,NA,NA
DIS,2,dry,0.115186058,11/27/10,5/26/11,180,2,2.850,2.224,0.780319006,1.304032759,0.97242176,0.745703475,0.024511001,0.0290232,1.184088725
DIS,2,dry,0.115186058,11/27/10,8/3/11,249,3,2.838,2.03,0.715277517,1.298516187,0.8769397,0.675339829,0.02440731,0.0265118,1.086223764
DIS,2,dry,0.115186058,11/27/10,10/2/12,675,5,2.794,1.031,0.368943188,1.278571657,0.46945554,0.367171865,0.024032426,0.01864048,0.775638702
DIS,2,dry,0.115186058,11/27/10,9/27/11,304,4,2.830,1.03,0.363994633,1.294697021,0.4757467,0.36745794,0.024335524,0.0134518,0.552763942
DIS,2,dry,0.115186058,11/27/10,4/29/11,153,1,2.790,2.2906,0.821053368,1.276449899,1.005825366,0.787986561,0.023992545,0.023455744,0.977626336
ERI,2,dry,0.115186058,11/27/10,4/29/11,153,1,2.854,2.5427,0.890770257,1.364325321,1.165522826,0.854285124,0.037565165,0.043022484,1.145276045
ERI,2,dry,0.115186058,11/27/10,9/27/11,304,4,2.842,2.173,0.764518148,1.358502527,0.97041834,0.714329433,0.037404841,0.04350346,1.163043566
ERI,2,dry,0.115186058,11/27/10,10/2/12,675,5,2.818,2.404,0.853103097,1.34685694,0.70079004,0.520315127,0.037084193,0.03175684,0.85634437
ERI,2,dry,0.115186058,11/27/10,8/3/11,249,3,2.856,2.248,0.787012858,1.365221135,1.01512936,0.743564053,0.037589831,0.04648864,1.23673449
ERI,2,dry,0.115186058,11/27/10,5/26/11,180,2,2.821,2.3466,0.831903697,1.348200662,1.054608972,0.782234427,0.037121191,0.034448088,0.927989838
ERI,2,dry,0.115186058,11/27/10,9/20/13,1028,6,2.828,1.723,0.609209301,NA,NA,NA,NA,NA,NA
HUM,2,dry,0.115186058,11/27/10,9/20/13,1028,6,2.856,1.437,0.503115102,NA,NA,NA,NA,NA,NA
HUM,2,dry,0.115186058,11/27/10,5/26/11,180,2,2.886,2.3754,0.823173767,1.430479609,1.151807706,0.805189881,0.025066771,0.02470416,0.985534211
HUM,2,dry,0.115186058,11/27/10,8/3/11,249,3,2.856,2.007,0.702680591,1.415878072,0.95826222,0.676797133,0.024810903,0.02803779,1.130059231
HUM,2,dry,0.115186058,11/27/10,10/2/12,675,5,2.854,1.514,0.530426861,1.414936037,0.74785544,0.528543638,0.024794395,0.02862974,1.154685948
HUM,2,dry,0.115186058,11/27/10,9/27/11,304,4,2.881,2.021,0.701514542,1.428124522,1.01438032,0.710288427,0.025025502,0.02495935,0.99735663
